title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,2h 22min," Drama
",Frank Darabont,Stephen King,Tim Robbins,9.3,"2,012,386"
The Godfather,2h 55min," Crime
,  Drama
",Francis Ford Coppola,Mario Puzo,Marlon Brando,9.2,"1,378,925"
The Godfather: Part II,3h 22min," Crime
,  Drama
",Francis Ford Coppola,Francis Ford Coppola,Al Pacino,9.0,"954,747"
The Dark Knight,2h 32min," Action
,  Crime
,  Drama
",Christopher Nolan,Jonathan Nolan,Christian Bale,9.0,"1,981,039"
12 Angry Men,1h 36min," Crime
,  Drama
",Sidney Lumet,Reginald Rose,Henry Fonda,8.9,"564,131"
Schindler's List,3h 15min," Biography
,  Drama
,  History
",Steven Spielberg,Thomas Keneally,Liam Neeson,8.9,"1,038,740"
The Lord of the Rings: The Return of the King,3h 21min," Action
,  Adventure
,  Drama
",Peter Jackson,J.R.R. Tolkien,Elijah Wood,8.9,"1,432,523"
Pulp Fiction,2h 34min," Crime
,  Drama
",Quentin Tarantino,Quentin Tarantino,John Travolta,8.9,"1,570,914"
"Il buono, il brutto, il cattivo",2h 41min," Western
",Sergio Leone,Luciano Vincenzoni,Clint Eastwood,8.9,"596,424"
Fight Club,2h 19min," Drama
",David Fincher,Chuck Palahniuk,Brad Pitt,8.8,"1,610,205"
The Lord of the Rings: The Fellowship of the Ring,2h 58min," Adventure
,  Drama
,  Fantasy
",Peter Jackson,J.R.R. Tolkien,Elijah Wood,8.8,"1,449,193"
Forrest Gump,2h 22min," Drama
,  Romance
",Robert Zemeckis,Winston Groom,Tom Hanks,8.8,"1,532,856"
Star Wars: Episode V - The Empire Strikes Back,2h 4min," Action
,  Adventure
,  Fantasy
",Irvin Kershner,Leigh Brackett,Mark Hamill,8.8,"1,010,660"
Inception,2h 28min," Action
,  Adventure
,  Sci-Fi
",Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,8.8,"1,761,048"
The Lord of the Rings: The Two Towers,2h 59min," Adventure
,  Drama
,  Fantasy
",Peter Jackson,J.R.R. Tolkien,Elijah Wood,8.7,"1,294,942"
