Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,109.419998,109.959999,106.099998,106.870003,106.410301,33621800
2018-11-13,107.550003,108.739998,106.639999,106.940002,106.480003,35374600
2018-11-14,108.099998,108.260002,104.470001,104.970001,104.970001,39495100
2018-11-15,104.989998,107.800003,103.910004,107.279999,107.279999,38505200
2018-11-16,107.080002,108.879997,106.800003,108.290001,108.290001,33502100
2018-11-19,108.269997,108.559998,103.550003,104.620003,104.620003,44773900
2018-11-20,101.800003,102.970001,99.349998,101.709999,101.709999,64052500
2018-11-21,103.599998,104.430000,102.239998,103.110001,103.110001,28130600
2018-11-23,102.169998,103.809998,102.000000,103.070000,103.070000,13823100
2018-11-26,104.790001,106.629997,104.580002,106.470001,106.470001,32295500
2018-11-27,106.269997,107.330002,105.360001,107.139999,107.139999,29124500
2018-11-28,107.889999,111.330002,107.860001,111.120003,111.120003,46788500
2018-11-29,110.330002,111.120003,109.029999,110.190002,110.190002,28123200
2018-11-30,110.699997,110.970001,109.360001,110.889999,110.889999,33665600
2018-12-03,113.000000,113.419998,110.730003,112.089996,112.089996,34732800
2018-12-04,111.940002,112.639999,108.209999,108.519997,108.519997,45197000
2018-12-06,105.820000,109.239998,105.000000,109.190002,109.190002,49107400
2018-12-07,108.379997,109.449997,104.300003,104.820000,104.820000,44393400
